#CMD# top -bn3
#TSP#  20090108-170153 
top - 17:01:53 up 22 days,  7:34,  5 users,  load average: 0.53, 0.32, 0.29
Tasks: 235 total,   2 running, 233 sleeping,   0 stopped,   0 zombie
Cpu(s):  6.2% us,  1.9% sy,  0.1% ni, 90.7% id,  0.5% wa,  0.0% hi,  0.7% si,  0
Mem:    969688k total,   953648k used,    16040k free,    57756k buffers
Swap:  1052248k total,      124k used,  1052124k free,   340304k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
15982 univa     15   0  243m 5524 1840 S   85  0.6   2274:04 uxioserv           
16091 univa     16   0 34864  24m 1848 R   60  2.6   1681:57 uxech              
26883 root      20   0  2252 1020  716 R    6  0.1   0:00.04 top                
 2398 root      15   0  2700 1364  892 S    2  0.1  46:41.75 gam_server         
 2414 gdm       15   0 11712 3728 3184 S    2  0.4  14:57.44 at-spi-registry    
13035 univa     16   0 37012 2296 1596 S    2  0.2   0:05.32 uxcdjsrv           
 9174 root      19   0 1186m 104m  11m S    2 11.1   0:20.38 java               
    1 root      16   0  2000  680  584 S    0  0.1   0:13.85 init               
    2 root      RT   0     0    0    0 S    0  0.0   0:00.00 migration/0        
    3 root      34  19     0    0    0 S    0  0.0   0:00.06 ksoftirqd/0        
    4 root      RT   0     0    0    0 S    0  0.0   0:00.00 watchdog/0         
    5 root      RT   0     0    0    0 S    0  0.0   0:54.79 migration/1        
    6 root      34  19     0    0    0 S    0  0.0   0:00.10 ksoftirqd/1        
    7 root      RT   0     0    0    0 S    0  0.0   0:00.00 watchdog/1         
    8 root      10  -5     0    0    0 S    0  0.0   0:00.01 events/0           
    9 root      10  -5     0    0    0 S    0  0.0   0:00.01 events/1           
   10 root      10  -5     0    0    0 S    0  0.0   0:00.00 khelper            
   11 root      13  -5     0    0    0 S    0  0.0   0:00.01 kthread            
   14 root      10  -5     0    0    0 S    0  0.0   0:04.36 kblockd/0          
   15 root      10  -5     0    0    0 S    0  0.0   0:05.16 kblockd/1          
   16 root      14  -5     0    0    0 S    0  0.0   0:00.00 kacpid             
  138 root      10  -5     0    0    0 S    0  0.0   0:00.00 khubd              
  140 root      10  -5     0    0    0 S    0  0.0   0:00.00 kseriod            
  205 root      15   0     0    0    0 S    0  0.0   0:49.22 kswapd0            
  206 root      14  -5     0    0    0 S    0  0.0   0:00.00 aio/0              
  207 root      14  -5     0    0    0 S    0  0.0   0:00.00 aio/1              
  375 root      11  -5     0    0    0 S    0  0.0   0:00.00 kpsmoused          
  392 root      10  -5     0    0    0 S    0  0.0   0:43.81 kjournald          
  431 root      11  -5     0    0    0 S    0  0.0   0:00.00 kauditd            
  455 root      15  -4  2212  688  376 S    0  0.1   0:00.21 udevd              
 1292 root      20  -5     0    0    0 S    0  0.0   0:00.00 kmirrord           
 1317 root      10  -5     0    0    0 S    0  0.0   0:00.00 kjournald          
 1319 root      10  -5     0    0    0 S    0  0.0   5:02.11 kjournald          
 1589 root      15   0  1656  560  460 S    0  0.1   0:04.24 syslogd            
 1592 root      15   0  1600  392  328 S    0  0.0   0:00.00 klogd              
 1602 root      16   0  1600  300  228 S    0  0.0   0:05.09 irqbalance         
 1612 rpc       16   0  1732  596  500 S    0  0.1   0:00.00 portmap            
 1631 rpcuser   18   0  1744  728  628 S    0  0.1   0:01.34 rpc.statd          
 1661 root      15   0  4736  644  336 S    0  0.1   0:12.91 rpc.idmapd         
 1675 dbus      16   0  3072  968  756 S    0  0.1   0:00.27 dbus-daemon        
 1684 root      24   0  2292  884  788 S    0  0.1   0:00.00 hcid               
 1687 root      24   0  1664  476  412 S    0  0.0   0:00.00 sdpd               
 1706 root      10 -10     0    0    0 S    0  0.0   0:00.00 krfcommd           
 1745 root      15   0  1816  456  388 S    0  0.0  12:58.10 hidd               
 1843 root      16   0  1872  720  600 S    0  0.1   0:00.18 automount          
 1858 root      16   0  1912  504  292 S    0  0.1   0:00.09 smartd             
 1867 root      16   0  1600  460  384 S    0  0.0   0:00.00 acpid              
 1885 root      16   0  4976 1108  784 S    0  0.1   0:00.02 sshd               
 1897 ntp       15   0  4248 4248 3244 S    0  0.4   0:11.86 ntpd               
 1950 root      16   0  6092 1728 1384 S    0  0.2   0:01.15 master             
 1965 postfix   16   0  6204 1800 1440 S    0  0.2   0:00.17 qmgr               
 1978 smmsp     16   0  7344 1716  876 S    0  0.2   0:00.00 sendmail           
 1987 root      16   0  1820  344  280 S    0  0.0   0:29.81 gpm                
 1997 root      16   0  5172 1112  572 S    0  0.1   0:01.07 crond              
 2028 xfs       15   0  3648 1652  804 S    0  0.2   0:00.09 xfs                
