#CMD# netstat -a
#TSP#  20090108-170059 
Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address               Foreign Address             State      
tcp        0      0 *:FLS530_IO_X               *:*                         LISTEN      
tcp        0      0 *:FLS520_BVS_X              *:*                         LISTEN      
tcp        0      0 *:FLS510_CDJ_I              *:*                         LISTEN      
tcp        0      0 *:FLS520_BVS_S              *:*                         LISTEN      
tcp        0      0 *:FLS510_CDJ_A              *:*                         LISTEN      
tcp        0      0 *:FLS530_IO_A               *:*                         LISTEN      
tcp        0      0 *:FLS520_BVS_I              *:*                         LISTEN      
tcp        0      0 *:FLS510_DQM                *:*                         LISTEN      
tcp        0      0 *:TST511_CDJ_X              *:*                         LISTEN      
tcp        0      0 *:FLS520_BVS_A              *:*                         LISTEN      
tcp        0      0 *:TST511_CDJ_S              *:*                         LISTEN      
tcp        0      0 *:52004                     *:*                         LISTEN      
tcp        0      0 *:FLS530_BVS_X              *:*                         LISTEN      
tcp        0      0 *:TST511_CDJ_I              *:*                         LISTEN      
tcp        0      0 *:52005                     *:*                         LISTEN      
tcp        0      0 *:TST511_CDJ_A              *:*                         LISTEN      
tcp        0      0 *:52006                     *:*                         LISTEN      
tcp        0      0 *:FLS520_CDJ_X              *:*                         LISTEN      
tcp        0      0 *:FLS530_BVS_A              *:*                         LISTEN      
tcp        0      0 *:FLS520_CDJ_S              *:*                         LISTEN      
tcp        0      0 *:PRE530_IO_X               *:*                         LISTEN      
tcp        0      0 *:FLS520_CDJ_I              *:*                         LISTEN      
tcp        0      0 *:UNI532_CDJ_X              *:*                         LISTEN      
tcp        0      0 *:FLS520_CDJ_A              *:*                         LISTEN      
tcp        0      0 *:UNI532_CDJ_S              *:*                         LISTEN      
tcp        0      0 *:5802                      *:*                         LISTEN      
tcp        0      0 *:FLS530_CDJ_X              *:*                         LISTEN      
tcp        0      0 *:UNI532_CDJ_I              *:*                         LISTEN      
tcp        0      0 *:TST530_IO_X               *:*                         LISTEN      
tcp        0      0 *:TST500_IO_X               *:*                         LISTEN      
tcp        0      0 *:TST530_IO_S               *:*                         LISTEN      
tcp        0      0 *:PRE530_BVS_X              *:*                         LISTEN      
tcp        0      0 *:FLS530_CDJ_A              *:*                         LISTEN      
tcp        0      0 *:PRE530_BVS_S              *:*                         LISTEN      
tcp        0      0 *:5902                      *:*                         LISTEN      
tcp        0      0 *:FLS520_DQM_X              *:*                         LISTEN      
tcp        0      0 *:TST530_IO_A               *:*                         LISTEN      
tcp        0      0 *:TST500_IO_A               *:*                         LISTEN      
tcp        0      0 *:PRE530_BVS_I              *:*                         LISTEN      
tcp        0      0 *:sunrpc                    *:*                         LISTEN      
tcp        0      0 *:TST540_IO_X               *:*                         LISTEN      
tcp        0      0 *:TST500_CMD                *:*                         LISTEN      
tcp        0      0 *:PRE530_BVS_A              *:*                         LISTEN      
tcp        0      0 *:TST530_BVS_X              *:*                         LISTEN      
tcp        0      0 *:42225                     *:*                         LISTEN      
tcp        0      0 *:6002                      *:*                         LISTEN      
tcp        0      0 *:FLS530_DQM_A              *:*                         LISTEN      
tcp        0      0 *:TST540_IO_A               *:*                         LISTEN      
tcp        0      0 *:PRE530_CDJ_X              *:*                         LISTEN      
tcp        0      0 *:FLS510_IO_X               *:*                         LISTEN      
tcp        0      0 *:TST530_BVS_A              *:*                         LISTEN      
tcp        0      0 *:PRE530_CDJ_S              *:*                         LISTEN      
tcp        0      0 *:TST540_BVS_X              *:*                         LISTEN      
tcp        0      0 *:PRE530_CDJ_I              *:*                         LISTEN      
tcp        0      0 *:TST520_IO_I               *:*                         LISTEN      
tcp        0      0 *:PRE530_CDJ_A              *:*                         LISTEN      
tcp        0      0 *:TST520_IO_A               *:*                         LISTEN      
tcp        0      0 localhost.localdomain:ipp   *:*                         LISTEN      
tcp        0      0 *:TST530_CDJ_X              *:*                         LISTEN      
tcp        0      0 *:TST500_CDJ_X              *:*                         LISTEN      
tcp        0      0 *:TST540_BVS_A              *:*                         LISTEN      
tcp        0      0 *:TST511_IO_X               *:*                         LISTEN      
tcp        0      0 *:TST511_IO_S               *:*                         LISTEN      
tcp        0      0 *:smtp                      *:*                         LISTEN      
tcp        0      0 *:TST511_IO_I               *:*                         LISTEN      
tcp        0      0 *:TST530_CDJ_A              *:*                         LISTEN      
tcp        0      0 *:TST500_CDJ_A              *:*                         LISTEN      
tcp        0      0 *:TST540_CDJ_X              *:*                         LISTEN      
tcp        0      0 *:TST511_IO_A               *:*                         LISTEN      
tcp        0      0 *:TST500_DQM                *:*                         LISTEN      
tcp        0      0 *:PRE530_DQM_X              *:*                         LISTEN      
tcp        0      0 *:FLS520_IO_X               *:*                         LISTEN      
tcp        0      0 *:FLS520_IO_S               *:*                         LISTEN      
tcp        0      0 *:FLS520_IO_I               *:*                         LISTEN      
tcp        0      0 *:TST540_CDJ_A              *:*                         LISTEN      
tcp        0      0 *:FLS520_IO_A               *:*                         LISTEN      
tcp        0      0 *:TST540_DQM_A              *:*                         LISTEN      
tcp        0      0 *:FLS510_CDJ_X              *:*                         LISTEN      
tcp        0      0 *:TST530_DQM_A              *:*                         LISTEN      
tcp        0      0 *:33119                     *:*                         LISTEN      
