#CMD# ps -efw
#TSP#  20090108-170129 
UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0  2008 ?        00:00:13 init [5]                             
root         2     1  0  2008 ?        00:00:00 [migration/0]
root         3     1  0  2008 ?        00:00:00 [ksoftirqd/0]
root         4     1  0  2008 ?        00:00:00 [watchdog/0]
root         5     1  0  2008 ?        00:00:54 [migration/1]
root         6     1  0  2008 ?        00:00:00 [ksoftirqd/1]
root         7     1  0  2008 ?        00:00:00 [watchdog/1]
root         8     1  0  2008 ?        00:00:00 [events/0]
root         9     1  0  2008 ?        00:00:00 [events/1]
root        10     1  0  2008 ?        00:00:00 [khelper]
root        11     1  0  2008 ?        00:00:00 [kthread]
root        14    11  0  2008 ?        00:00:04 [kblockd/0]
root        15    11  0  2008 ?        00:00:05 [kblockd/1]
root        16    11  0  2008 ?        00:00:00 [kacpid]
root       138    11  0  2008 ?        00:00:00 [khubd]
root       140    11  0  2008 ?        00:00:00 [kseriod]
root       205     1  0  2008 ?        00:00:49 [kswapd0]
root       206    11  0  2008 ?        00:00:00 [aio/0]
root       207    11  0  2008 ?        00:00:00 [aio/1]
root       375    11  0  2008 ?        00:00:00 [kpsmoused]
root       392    11  0  2008 ?        00:00:43 [kjournald]
root       431    11  0  2008 ?        00:00:00 [kauditd]
root       455     1  0  2008 ?        00:00:00 /sbin/udevd -d
root      1292    11  0  2008 ?        00:00:00 [kmirrord]
root      1317    11  0  2008 ?        00:00:00 [kjournald]
root      1319    11  0  2008 ?        00:05:02 [kjournald]
root      1589     1  0  2008 ?        00:00:04 syslogd -m 0
root      1592     1  0  2008 ?        00:00:00 klogd -x
root      1602     1  0  2008 ?        00:00:05 irqbalance
rpc       1612     1  0  2008 ?        00:00:00 portmap
rpcuser   1631     1  0  2008 ?        00:00:01 rpc.statd
root      1661     1  0  2008 ?        00:00:12 rpc.idmapd
dbus      1675     1  0  2008 ?        00:00:00 dbus-daemon --system
root      1684     1  0  2008 ?        00:00:00 hcid: processing events
root      1687     1  0  2008 ?        00:00:00 sdpd
root      1706     1  0  2008 ?        00:00:00 [krfcommd]
root      1745     1  0  2008 ?        00:12:58 /usr/bin/hidd --server
root      1843     1  0  2008 ?        00:00:00 /usr/sbin/automount --timeout=60 /net program /etc/auto.net
root      1858     1  0  2008 ?        00:00:00 /usr/sbin/smartd -q never
root      1867     1  0  2008 ?        00:00:00 /usr/sbin/acpid
root      1885     1  0  2008 ?        00:00:00 /usr/sbin/sshd
ntp       1897     1  0  2008 ?        00:00:11 ntpd -u ntp:ntp -p /var/run/ntpd.pid -g
root      1950     1  0  2008 ?        00:00:01 /usr/libexec/postfix/master
postfix   1965  1950  0  2008 ?        00:00:00 qmgr -l -t fifo -u
smmsp     1978     1  0  2008 ?        00:00:00 sendmail: Queue runner@01:00:00 for /var/spool/clientmqueue
root      1987     1  0  2008 ?        00:00:29 gpm -m /dev/input/mice -t exps2
root      1997     1  0  2008 ?        00:00:01 crond
xfs       2028     1  0  2008 ?        00:00:00 xfs -droppriv -daemon
root      2069     1  0  2008 ?        00:00:02 Xvnc :2 -desktop casdlsup06.orsypgroup.com:2 (root) -httpd /usr/share/vnc/classes -auth /root/.Xauthority -geometry 1024x768 -depth 16 -rfbwait 30000 -rfbauth /root/.vnc/passwd -rfbport 5902 -pn
root      2080     1  0  2008 ?        00:00:00 vncconfig -iconic
root      2081     1  0  2008 ?        00:00:00 /bin/sh /usr/bin/startkde
root      2095     1  0  2008 ?        00:00:00 /usr/sbin/atd
avahi     2198     1  0  2008 ?        00:00:00 avahi-daemon: running [casdlsup06.local]
avahi     2199  2198  0  2008 ?        00:00:00 avahi-daemon: chroot helper process
root      2211     1  0  2008 ?        00:00:00 cups-config-daemon
68        2221     1  0  2008 ?        00:00:03 hald
root      2222  2221  0  2008 ?        00:00:00 hald-runner
68        2228  2222  0  2008 ?        00:00:00 /usr/libexec/hald-addon-acpi
68        2241  2222  0  2008 ?        00:00:00 /usr/libexec/hald-addon-keyboard
root      2249  2222  0  2008 ?        00:13:56 /usr/libexec/hald-addon-storage
root      2267     1  0  2008 tty1     00:00:00 /sbin/mingetty tty1
root      2269     1  0  2008 tty2     00:00:00 /sbin/mingetty tty2
root      2271     1  0  2008 tty3     00:00:00 /sbin/mingetty tty3
root      2280     1  0  2008 tty4     00:00:00 /sbin/mingetty tty4
root      2283     1  0  2008 tty5     00:00:00 /sbin/mingetty tty5
root      2286     1  0  2008 tty6     00:00:00 /sbin/mingetty tty6
root      2306     1  0  2008 ?        00:00:00 /bin/sh /etc/X11/prefdm -nodaemon
root      2327  2306  0  2008 ?        00:00:00 /usr/sbin/gdm-binary -nodaemon
root      2364     1  0  2008 ?        00:00:00 kdeinit Running...                    
root      2366  2327  0  2008 ?        00:00:00 /usr/sbin/gdm-binary -nodaemon
root      2369  2366  0  2008 tty7     00:04:35 /usr/bin/Xorg :0 -audit 0 -auth /var/gdm/:0.Xauth -nolisten tcp vt7
root      2371     1  0  2008 ?        00:00:00 dcopserver --nosid
root      2382  2364  0  2008 ?        00:00:06 klauncher [kdeinit] --new-startup     
root      2396     1  0  2008 ?        00:00:14 kded --new-startup
root      2398     1  0  2008 ?        00:46:41 /usr/libexec/gam_server
gdm       2409  2366  0  2008 ?        00:03:03 /usr/libexec/gdmgreeter --gtk-module=gail:atk-bridge:/usr/lib/gtk-2.0/modules/libkeymouselistener:/usr/lib/gtk-2.0/modules/libdwellmouselistener
gdm       2412     1  0  2008 ?        00:00:00 /usr/libexec/bonobo-activation-server --ac-activate --ior-output-fd=12
gdm       2414     1  0  2008 ?        00:14:57 /usr/libexec/at-spi-registryd --oaf-activate-iid=OAFIID:Accessibility_Registry:1.0 --oaf-ior-fd=23
root      2418  2081  0  2008 ?        00:01:09 kwrapper ksmserver
root      2420     1  0  2008 ?        00:00:00 ksmserver
root      2421  2364  0  2008 ?        00:00:00 kwin -session 102b521d261297000115558037900000023580000_1155589806_134678
root      2423     1  0  2008 ?        00:00:01 kdesktop
root      2425     1  0  2008 ?        00:03:57 kicker
root      2426  2364  0  2008 ?        00:00:00 kio_file [kdeinit] file /tmp/ksocket-root/klauncherjiMW5b.slave-socket /tmp/ksocket-root/kdesktopJr0qta.slave-socket
root      2432  2364  0  2008 ?        00:07:23 /usr/bin/artsd -F 10 -S 4096 -s 60 -m artsmessage -c drkonqi -l 3 -f
root      2434     1  0  2008 ?        00:00:00 kaccess
root      2436  2364  0  2008 ?        00:00:00 konsole -session 102b521d261297000115558775500000023580010_1155589806_110901
root      2441  2436  0  2008 pts/2    00:00:00 /bin/bash
root      2523    11  0  2008 ?        00:00:22 [rpciod/0]
root      2524    11  0  2008 ?        00:00:00 [rpciod/1]
root      2525     1  0  2008 ?        00:00:00 [lockd]
root     32206     1  0  2008 ?        00:20:42 /usr/java/jdk1.6.0_02/jre/bin/java -Djava.util.logging.manager=org.apache.juli.ClassLoaderLogManager -Djava.util.logging.config.file=/apps/tomcat/apache-tomcat-6.0.2/conf/logging.properties -Djava.endorsed.dirs=/apps/tomcat/apache-tomcat-6.0.2/endorsed -classpath :/apps/tomcat/apache-tomcat-6.0.2/bin/bootstrap.jar:/apps/tomcat/apache-tomcat-6.0.2/bin/commons-logging-api.jar -Dcatalina.base=/apps/tomcat/apache-tomcat-6.0.2 -Dcatalina.home=/apps/tomcat/apache-tomcat-6.0.2 -Djava.io.tmpdir=/apps/tomcat/apache-tomcat-6.0.2/temp org.apache.catalina.startup.Bootstrap start
univa    15982     1  9  2008 ?        1-13:53:59 ./uxioserv PRE530 X casdlsup06
univa    15983     1  2  2008 ?        08:10:08 ./uxioserv PRE530 S casdlsup06
univa    15988     1  0  2008 ?        00:00:30 ./uxioserv PRE530 I casdlsup06
univa    15991     1  0  2008 ?        00:00:34 ./uxioserv PRE530 A casdlsup06
root     15994     1  0  2008 ?        00:01:11 ./uxdqmsrv PRE530 X casdlsup06
univa    16008     1  0  2008 ?        00:00:12 ./uxbvssrv PRE530 X casdlsup06
univa    16020     1  0  2008 ?        00:00:11 ./uxbvssrv PRE530 S casdlsup06
univa    16021     1  0  2008 ?        00:00:14 ./uxcdjsrv PRE530 X casdlsup06
univa    16024     1  0  2008 ?        00:00:12 ./uxcdjsrv PRE530 A casdlsup06
univa    16026     1  0  2008 ?        00:00:12 ./uxcdjsrv PRE530 I casdlsup06
univa    16028     1  0  2008 ?        00:00:19 ./uxcdjsrv PRE530 S casdlsup06
univa    16036     1  0  2008 ?        00:00:12 ./uxbvssrv PRE530 I casdlsup06
univa    16046     1  0  2008 ?        00:00:12 ./uxbvssrv PRE530 A casdlsup06
univa    16063     1  0  2008 ?        00:01:20 ./uxcal PRE530 X casdlsup06
root     16078     1  0  2008 ?        00:01:51 ./uxord PRE530 X casdlsup06
univa    16091     1  7  2008 ?        1-04:01:53 ./uxech PRE530 X casdlsup06
univa    16111     1  0  2008 ?        00:00:28 ./uxcal PRE530 S casdlsup06
root     16113     1  0  2008 ?        00:00:14 ./uxsur PRE530 X casdlsup06
root     16127     1  1  2008 ?        06:48:55 ./uxord PRE530 S casdlsup06
univa    16141     1  0  2008 ?        01:29:55 ./uxech PRE530 S casdlsup06
univa    16154     1  0  2008 ?        00:00:22 ./uxcal PRE530 A casdlsup06
root     16169     1  0  2008 ?        00:00:30 ./uxord PRE530 A casdlsup06
univa    16181     1  0  2008 ?        00:00:02 ./uxech PRE530 A casdlsup06
univa    16195     1  0  2008 ?        00:00:06 ./uxcal PRE530 I casdlsup06
root     16208     1  0  2008 ?        00:00:08 ./uxord PRE530 I casdlsup06
