2008-11-26 	11 33 34 42 43 48 (07) 3188607 	 
2008-11-19 	24 28 34 38 44 45 (35) 3332212 	 
2008-11-12 	12 30 34 38 39 43 (36) 1283971 	 
2008-11-05 	04 13 17 27 35 45 (34) 4467434 	 
2008-10-29 	01 03 26 33 42 46 (45) 8379803 	 
2008-10-22 	08 09 12 20 42 45 (39) 7428171 	Bonus Prizes
2008-10-15 	07 09 15 21 38 40 (13) 2208300 	Bonus Prizes
2008-10-08 	04 13 19 32 40 45 (28) 2624147 	Bonus Prizes
2008-10-01 	02 08 22 29 34 48 (47) 6868818 	 
2008-09-24 	10 27 36 40 42 43 (37) 5629798 	 
2008-09-17 	07 09 17 23 27 32 (22) 1316711 	 
2008-09-10 	02 15 25 31 38 49 (48) 3136869 	 
2008-09-03 	05 21 28 32 43 46 (13) 5136211 	 
2008-08-27 	02 12 25 28 35 48 (03) 6430427 	 
2008-08-20 	03 06 09 27 28 36 (45) 2034873 	 
2008-08-13 	01 16 28 29 39 45 (23) 4844727 	 
2008-08-06 	10 18 22 26 34 38 (39) 9984377 	 
2008-07-30 	03 10 21 26 38 43 (48) 9828620 	 
2008-07-23 	07 09 25 35 40 48 (01) 9513657 	 
2008-07-16 	03 10 16 17 25 39 (19) 5675644 	 
2008-07-09 	02 25 28 40 45 46 (34) 9993454 	 
2008-07-02 	12 18 19 35 42 43 (44) 1220459 	 
2008-06-25 	01 23 29 34 37 45 (08) 0742947 	 
2008-06-18 	02 12 31 40 44 45 (11) 8699963 	 
2008-06-11 	02 24 33 35 44 48 (37) 5015161 	 
2008-06-04 	05 21 25 32 33 41 (45) 0301676 	 
2008-05-28 	03 04 22 23 26 28 (08) 5470185 	 
2008-05-21 	03 04 07 19 28 32 (06) 4637243 	 
2008-05-14 	09 20 22 28 35 42 (15) 5790392 	 
2008-05-07 	13 22 29 33 46 49 (18) 9984969 	 
2008-04-30 	03 06 19 23 39 43 (14) 9270052 	 
2008-04-23 	12 24 25 29 41 45 (14) 6570098 	 
2008-04-16 	13 25 34 35 47 48 (22) 5294122 	 
2008-04-09 	20 21 22 29 39 41 (25) 2564808 	 
2008-04-02 	02 05 08 20 21 33 (11) 4234148 	 
2008-03-26 	01 06 15 27 33 40 (46) 9200099 	 
2008-03-19 	23 40 41 42 44 45 (43) 9981677 	 
2008-03-12 	03 11 22 29 41 44 (48) 3721750 	 
2008-03-05 	17 20 33 35 37 40 (25) 0051193 	 
2008-02-27 	02 04 17 33 36 45 (35) 8269034 	 
2008-02-20 	01 06 08 38 39 40 (31) 7917990 	 
2008-02-13 	14 24 26 29 41 46 (22) 1988233 	 
2008-02-06 	02 04 11 30 34 47 (42) 1694944 	 
2008-01-30 	01 20 21 23 40 41 (12) 5585290 	 
2008-01-23 	06 10 13 20 32 37 (34) 4273157 	 
2008-01-16 	07 15 34 39 41 49 (22) 4484301 	 
2008-01-09 	05 22 25 30 45 46 (41) 9872753 	 
2008-01-02 	04 06 07 16 32 45 (43) 7737944 	 
2007-12-26 	08 10 12 14 31 39 (09) 0235290 	 
2007-12-19 	06 09 15 32 37 48 (38) 9525873 	 
2007-12-12 	06 24 31 32 34 39 (22) 8477050 	 
2007-12-05 	01 02 23 29 30 42 (12) 0619908 	 
